id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
0,Os03g0219900,,Ribosome,,69.3796909131318,333,Green,62.8314948502435,"Similar to 50S ribosomal protein L15, chloroplast precursor (CL15) (Fragment).","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Cellular Component: large ribosomal subunit (GO:0015934), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L15'],LOC_Os03g12020
1,Os01g0678600,,Ribosome,ASL1,72.2413519859786,307,Green,62.7839224728988,"Ribosomal protein S20 family protein., Similar to ribosomal protein rpS20.","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S20'],LOC_Os01g48690
2,Os12g0541500,,,,67.8700350757735,361,Green,61.9772059766731,"Similar to Elongation factor Ts., Similar to Chloroplast polyprotein of elongation factor Ts.","Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Molecular Function: RNA binding (GO:0003723), Molecular Function: translation elongation factor activity (GO:0003746), Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Molecular Function: RNA binding (GO:0003723), Molecular Function: translation elongation factor activity (GO:0003746), Molecular Function: protein binding (GO:0005515), Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Molecular Function: translation elongation factor activity (GO:0003746), Molecular Function: protein binding (GO:0005515), Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Molecular Function: translation elongation factor activity (GO:0003746)",['protein.synthesis.elongation'],LOC_Os12g35630
3,Os07g0435300,,"Photosynthesis, Metabolic pathways",PSAE,67.70154704404,364,Green,60.1783898195915,"Photosystem I reaction center subunit IV, chloroplast precursor (PSI- E) (Photosystem I 10.8 kDa polypeptide).","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem I (GO:0009522), Cellular Component: photosystem I reaction center (GO:0009538)",['PS.lightreaction.photosystem I.PSI polypeptide subunits'],LOC_Os07g25430
4,Os09g0279500,,"RNA transport, mRNA surveillance pathway, RNA degradation",,66.9867221888989,378,Green,60.0939441249587,"Similar to Plastid-specific 30S ribosomal protein 2, chloroplast precursor (PSRP- 2)., Similar to plastid-specific 30S ribosomal protein 2.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",['RNA.RNA binding'],LOC_Os09g10760
5,Os03g0356300,,Ribosome,,68.658345525806,342,Green,59.9577516178998,Ribosomal protein L6 family protein.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735), Molecular Function: rRNA binding (GO:0019843)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L6'],LOC_Os03g24020
6,Os06g0245800,,Aminoacyl-tRNA biosynthesis,,65.3141384340208,421,Green,58.4943851934125,Similar to Alanyl-tRNA synthetase.,"Biological Process: alanyl-tRNA aminoacylation (GO:0006419), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: alanine-tRNA ligase activity (GO:0004813), Molecular Function: ATP binding (GO:0005524)",['protein.aa activation'],LOC_Os06g13660
7,Os06g0332800,,,,65.0554703182947,425,Green,58.4859089362272,Similar to Bundle sheath defective protein 2.,"Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)",['development.unspecified'],LOC_Os06g22690
8,Os01g0798500,,,,62.6915303905572,461,Green,57.1898636361567,"Similar to predicted protein., Malate synthase-like family protein.",,['not assigned.unknown'],LOC_Os01g58470
9,Os01g0142100,,,,67.5751599843532,367,Green,56.7904522180075,"Peptidase M50 family protein., Similar to Metalloendopeptidase.","Biological Process: proteolysis (GO:0006508), Molecular Function: metalloendopeptidase activity (GO:0004222)",['protein.degradation'],LOC_Os01g04900
10,Os03g0815400,,Ribosome,,61.5888656207302,481,Green,56.6683925074817,Ribosomal protein L17-like protein.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L17'],LOC_Os03g60100
11,Os03g0685000,,Photosynthesis,"OsFdC2, OsHDY1",60.0200008806935,515,Green,56.3902265182519,Similar to Ferredoxin.,"Biological Process: electron transport chain (GO:0022900), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: iron-sulfur cluster binding (GO:0051536), Molecular Function: 2 iron, 2 sulfur cluster binding (GO:0051537)",['misc. other Ferredoxins and Rieske domain'],LOC_Os03g48040
