id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
0,Os12g0550600,,,,37.6325732281379,1386,Brown,32.8174030799867,Hypothetical protein.,,,None
1,Os05g0105900,,"RNA transport, mRNA surveillance pathway",,37.622539768126,1387,Brown,32.7787314983482,"Nucleotide-binding, alpha-beta plait domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","['misc.gluco-, galacto- and mannosidases']",LOC_Os05g01540
2,Os10g0130500,,,,38.8247290246695,1298,Brown,31.8268316816707,Hypothetical protein.,,['not assigned.unknown'],LOC_Os10g04050
3,Os09g0130800,,,,37.2190899512007,1423,Brown,29.8200704479395,"Similar to predicted protein., DEAD-like helicase, N-terminal domain containing protein.",", Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",['DNA.unspecified'],LOC_Os09g04440
4,Os04g0175300,,,,34.4780008888455,1619,Brown,29.2618537931778,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os04g09580
5,Os08g0254600,,Plant-pathogen interaction,,31.7308627219305,1833,Brown,29.1791086769022,Similar to cyclic nucleotide-gated ion channel 14.,,,None
6,Os01g0299500,,,,31.9192967884511,1819,Brown,28.4522831565494,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g19410
7,Os01g0553600,,,,35.5803748655105,1529,Brown,28.4141652545309,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g37280
8,Os01g0309800,,,,30.2652810540477,1960,Brown,27.945256444844,Similar to Hydrogenase expression/formation protein hypB.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",['transport.metal'],LOC_Os01g20830
9,Os03g0109900,,,,32.3812075616303,1779,Brown,27.8065833747607,"Peptidase, trypsin-like serine and cysteine domain containing protein., Hypothetical conserved gene., Peptidase cysteine/serine, trypsin-like domain containing protein.",Molecular Function: catalytic activity (GO:0003824),['not assigned.unknown'],LOC_Os03g01940
10,Os01g0813000,,,,36.6227160240446,1463,Brown,27.2930267565553,Similar to 14 kDa zinc-binding protein.,Molecular Function: catalytic activity (GO:0003824),['protein.postranslational modification'],LOC_Os01g59750
11,Os08g0554400,C2H2,,OsIDD6,29.3133733221288,2061,Brown,26.9367757846998,"Zinc finger, C2H2-type domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os08g44050
12,Os02g0477100,,,,30.1590219134057,1969,Brown,26.8832189841485,Hypothetical conserved gene.,,['not assigned.unknown'],LOC_Os02g27592
13,Os01g0852200,,,,29.5879102258457,2021,Brown,26.2866410983499,"Similar to sialin., Major facilitator superfamily protein.","Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",['transport.phosphate'],LOC_Os01g63290
14,Os03g0772300,,,,37.8642094288535,1368,Brown,25.9307874692056,Conserved hypothetical protein.,,,None
15,Os11g0605100,,,,29.8440514631431,2001,Brown,25.6991294651924,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",['not assigned.unknown'],LOC_Os11g39190
16,Os06g0624200,,,,28.9493027426012,2095,Brown,25.6766530560771,Non-protein coding transcript.,,,None
17,Os01g0779100,,,,29.6954064034478,2012,Brown,25.597216162311,"Peptidase M16, zinc-binding site domain containing protein.","Biological Process: proteolysis (GO:0006508), Molecular Function: catalytic activity (GO:0003824), Molecular Function: metalloendopeptidase activity (GO:0004222), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: metal ion binding (GO:0046872)",['protein.degradation.metalloprotease'],LOC_Os01g57082
18,Os03g0337200,,,,34.541168859037,1615,Brown,25.4544470328408,"Hypothetical protein., Non-protein coding transcript.",,,None
