id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
0,Os08g0174800,,,,85.971782032539,1839,Black,31.671519002899,Similar to Benzothiadiazole-induced somatic embryogenesis receptor kinase 1.,"Biological Process: defense response (GO:0006952), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: ADP binding (GO:0043531), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['signalling.receptor kinases.leucine rich repeat II'],LOC_Os08g07774
1,Os06g0287700,,,,127.884409863945,834,Black,30.7324201027067,"Similar to NBS-LRR disease resistance protein homologue (Fragment)., Non-protein coding transcript., Similar to Nbs-lrr disease resistance protein (Fragment).","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531),",['stress.biotic'],LOC_Os06g17970
2,Os09g0355400,,,,50.2440941695732,3371,Black,30.0665927856948,"Protein kinase, core domain containing protein., Similar to OsD305.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['signalling.receptor kinases.misc'],LOC_Os09g18594
3,Os03g0206700,,,,90.0221719339471,1705,Black,29.6273275930255,BTB/POZ fold domain containing protein.,"Biological Process: response to light stimulus (GO:0009416), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515)",['signalling.light'],LOC_Os03g10880
4,Os02g0281000,,,OsPKG,64.2824253168992,2659,Black,28.6846671979375,"RmlC-like jelly roll fold domain containing protein., Similar to predicted protein.","Biological Process: regulation of protein phosphorylation (GO:0001932), Biological Process: protein phosphorylation (GO:0006468), Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: cAMP-dependent protein kinase complex (GO:0005952), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722), Molecular Function: ATP binding (GO:0005524), Molecular Function: cAMP-dependent protein kinase regulator activity (GO:0008603), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: catalytic activity (GO:0003824)",['protein.postranslational modification'],LOC_Os02g17970
5,Os07g0650600,,,OsBLE2,49.0555556859312,3455,Black,28.1916768637198,"Similar to BLE2 protein., Hypothetical conserved gene., BLE2 protein.","Molecular Function: binding (GO:0005488),",['not assigned.unknown'],LOC_Os07g45570
6,Os01g0664000,,,,94.3886919728313,1584,Black,27.9604058412295,Similar to carboxyl-terminal-processing protease.,"Biological Process: proteolysis (GO:0006508), Molecular Function: protein binding (GO:0005515), Molecular Function: serine-type peptidase activity (GO:0008236)",['protein.degradation'],LOC_Os01g47450
7,Os06g0483500,,,,115.518300702807,1062,Black,27.4576796352599,Similar to H0124B04.15 protein.,,['not assigned.unknown'],LOC_Os06g28840
8,Os02g0727300,,,OsPUB21,58.7534834552242,2920,Black,27.2785582042388,"Similar to Beta-catenin repeat family protein., Similar to ubiquitin-protein ligase.","Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os02g49520
9,Os01g0841800,,,,96.9033944734076,1511,Black,27.1145622381453,Ribonuclease II and R domain containing protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: ribonuclease activity (GO:0004540)",['RNA.processing.ribonucleases'],LOC_Os01g62440
